"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.15, 25))",500.0,0.0,325.0,129.9038
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.2, 10))",500.0,0.0,274.6667,217.0837
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.2, 15))",500.0,0.0,274.0,218.2384
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.2, 20))",500.0,0.0,275.6667,215.3517
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.2, 25))",500.0,0.0,325.0,129.9038
MG:-1 Var:1,z:1.6449 alpha:2,"W (z:1.6449,a:2,(0.1, 10))",500.0,0.0,274.6667,217.0837
MG:-1 Var:1,z:1.6449 alpha:2,"W (z:1.6449,a:2,(0.1, 15))",500.0,0.0,276.0,214.7743
MG:-1 Var:1,z:1.6449 alpha:2,"W (z:1.6449,a:2,(0.1, 20))",500.0,0.0,275.6667,215.3517
MG:-1 Var:1,z:1.6449 alpha:2,"W (z:1.6449,a:2,(0.1, 25))",500.0,0.0,324.3333,131.0585
MG:-1 Var:1,z:1.6449 alpha:2,"W (z:1.6449,a:2,(0.15, 10))",500.0,0.0,274.6667,217.0837
MG:-1 Var:1,z:1.6449 alpha:2,"W (z:1.6449,a:2,(0.15, 15))",500.0,0.0,276.0,214.7743
MG:-1 Var:1,z:1.6449 alpha:2,"W (z:1.6449,a:2,(0.15, 20))",500.0,0.0,275.6667,215.3517
MG:-1 Var:1,z:1.6449 alpha:2,"W (z:1.6449,a:2,(0.15, 25))",500.0,0.0,324.3333,131.0585
MG:-1 Var:1,z:1.6449 alpha:2,"W (z:1.6449,a:2,(0.2, 10))",500.0,0.0,274.6667,217.0837
