"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.96 alpha:0.5,"CTM (z:1.96,a:0.5,(0.1, 15))",4.2532,1.6686,0.3333,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"CTM (z:1.96,a:0.5,(0.1, 20))",4.917,2.2974,1.3333,2.3094
MG:-1 Var:1,z:1.96 alpha:0.5,"CTM (z:1.96,a:0.5,(0.15, 10))",3.7721,1.2616,3.0,5.1962
MG:-1 Var:1,z:1.96 alpha:0.5,"CTM (z:1.96,a:0.5,(0.15, 15))",4.6548,2.0687,0.3333,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"CTM (z:1.96,a:0.5,(0.15, 20))",5.4829,2.975,3.0,5.1962
MG:-1 Var:1,z:1.96 alpha:0.5,"CTM (z:1.96,a:0.5,(0.2, 10))",4.0457,1.5071,3.0,5.1962
MG:-1 Var:1,z:1.96 alpha:0.5,"CTM (z:1.96,a:0.5,(0.2, 15))",5.3077,2.7389,0.3333,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"CTM (z:1.96,a:0.5,(0.2, 20))",6.3846,4.0378,3.0,5.1962
MG:-1 Var:1,z:1.96 alpha:0.5,"SWM (z:1.96,a:0.5,10)",2.5727,0.489,0.3333,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"SWM (z:1.96,a:0.5,15)",2.7477,0.5427,4.6667,8.0829
MG:-1 Var:1,z:1.96 alpha:0.5,"SWM (z:1.96,a:0.5,20)",3.123,0.6484,3.6667,6.3509
MG:-1 Var:1,z:1.96 alpha:0.5,"SWM (z:1.96,a:0.5,25)",3.1124,0.7248,5.3333,8.3865
MG:-1 Var:1,z:1.96 alpha:0.5,"SWM (z:1.96,a:0.5,30)",3.4696,0.8655,4.6667,8.0829
MG:-1 Var:1,z:1.96 alpha:0.5,"TM (z:1.96,a:0.5,(0.1, 10))",2.8103,0.5632,0.3333,0.5774
